Airport,POS1Lon,POS1Lat,POS13Lon,POS13Lat,POS2Lon,POS2Lat,POS3Lon,POS3Lat,POS4Lon,POS4Lat,POS5Lon,POS5Lat,POS6Lon,POS6Lat,POS7Lon,POS7Lat,POS8Lon,POS8Lat,POS9Lon,POS9Lat,POS10Lon,POS10Lat,POS11Lon,POS11Lat,POS12Lon,POS12Lat
南通/兴东,33516922.173674606,7484647.471096954,33516922.173674606,7484647.471096954,33525832.249850173,7484647.471096954,33524161.610567253,7491685.039731568,33530101.29009779,7496890.790480722,33530473.28577812,7499281.48882075,33524718.490328226,7504484.097719914,33526946.009372115,7511792.132514759,33518406.81511736,7511932.062840771,33519520.574639305,7504764.962299187,33513580.895108767,7499563.313194273,33513394.8972686,7497171.824476585,33519149.6927185,7491685.039731568
南阳/姜营,32601225.848795027,7409375.495783245,32601225.848795027,7409375.495783245,32607908.405926704,7413340.662781368,32598813.445670493,7417871.921506625,32597884.57022919,7423956.834980207,32595472.167104658,7425654.569543328,32585819.21332795,7427211.185788372,32579693.53595725,7433291.472719462,32573196.976665743,7429332.755025211,32582291.936921947,7424947.491636194,32583034.814523086,7418437.573924804,32585633.215487786,7416738.839411214,32595100.17142433,7415606.50191511
博乐/阿拉山口,29238971.849880956,6360427.346325539,29238971.849880956,6360427.346325539,29236930.32867723,6366217.666111336,29224306.978255495,6363714.009160804,29214098.25847734,6366373.476989803,29210384.984231174,6366217.666111336,29202403.783496913,6361053.780049944,29189038.66923356,6360427.346325539,29190709.30851648,6354633.414097915,29203331.54517869,6357139.519929949,29214283.142557986,6354477.406126404,29217624.421123825,6354633.414097915,29225792.733457774,6359800.870343579
厦门/高崎,33217134.86443103,8109204.399917317,33217134.86443103,8109204.399917317,33222332.78011995,8113244.448273526,33212865.824183412,8116609.845524773,33210638.305139523,8122397.888690117,33207483.024413846,8124147.543588955,33198386.950398117,8124147.543588955,33191147.513505474,8129394.571825448,33186506.477577522,8125223.725954222,33195602.55159325,8121859.309069401,33197830.070637144,8116071.881348346,33200800.467282176,8114321.354628597,33209895.427538384,8114052.336730689
台州/路桥,33576508.3080987,7778512.345109297,33576508.3080987,7778512.345109297,33584304.62475232,7780577.627964668,33577992.94954146,7786496.689872176,33580035.58450471,7792550.258845987,33578735.827142596,7794200.853949919,33570196.63288784,7797226.716394519,33567412.23408297,7803963.462058507,33559615.91742935,7801901.619344001,33565927.59264022,7795989.054833203,33563886.071436495,7789936.969852673,33565370.71287925,7788010.120836754,33573353.02737303,7785258.081285574
合肥/新桥,33090166.27892922,7515724.765021587,33090166.27892922,7515724.765021587,33082741.957955923,7518393.303246738,33078843.799629115,7511932.062840771,33069747.725613385,7509402.962458392,33067706.20440966,7507155.010165174,33068633.96609144,7500828.913726533,33061951.40895976,7495202.766439302,33069376.843692575,7492389.170458756,33073275.002019383,7499141.418071823,33082369.962275594,7501531.6889549745,33084412.597238846,7503781.48714919,33083112.839876734,7509965.30954669
吐鲁番/交河,29995028.56744196,6530750.433648232,29995028.56744196,6530750.433648232,29995028.56744196,6537051.431316601,29982035.44885894,6535822.539145568,29973310.256764017,6539663.574560195,29969041.216516398,6539663.574560195,29960131.140340835,6535822.539145568,29947322.90583846,6537051.431316601,29947322.90583846,6530750.433648232,29960131.140340835,6532133.999987042,29969041.216516398,6528136.795593327,29973310.256764017,6528136.795593327,29982035.44885894,6532133.999987042
呼伦贝尔/海拉尔,33419468.215504352,5941524.5915392935,33419468.215504352,5941524.5915392935,33420952.856947105,5947920.788772708,33406103.101241,5947264.659820746,33397007.02722527,5952181.94835753,33392367.105056845,5952673.522535284,33381414.39391803,5949067.6644707415,33367678.397733875,5951198.71567824,33366564.63821193,5944804.959820343,33381043.511997223,5945132.632529982,33390139.586012956,5940211.305472096,33394408.62626057,5939719.017523189,33405360.22363986,5943328.801580993
呼和浩特/白塔,32523262.682258826,6726034.969958626,32523262.682258826,6726034.969958626,32526419.07674402,6731459.466643577,32513610.842241645,6732815.1349290935,32507113.16919061,6738235.987781351,32502473.247022185,6738838.4262370635,32492449.411324676,6736881.047395125,32481125.818265054,6740343.913731074,32477970.537539378,6734321.520605379,32490406.776361424,6733417.8969182065,32497275.331333265,6727843.459941542,32501544.371580884,6726939.25552956,32511940.202958725,6729350.588371929
和田,28965173.005322464,7074022.307797316,28965173.005322464,7074022.307797316,28961831.726756632,7079415.671318061,28951251.011298142,7075625.897403391,28941227.175600633,7077375.320098481,28937513.901354462,7076500.643424548,28931945.103744738,7071397.2715022415,28920250.628764305,7069646.8997973725,28923407.0232495,7064247.875753755,28933615.743027657,7067750.057955941,28943639.578725167,7066290.659022456,28947352.852971334,7067166.146517996,28953478.530342035,7072563.739814838
